tweet,sentiment
 #السينما_في_السعودية  الآف #فرص_العمل الجديدة .. تعرف عليها - #السعودية https://t.co/VfEUzqC9Ta,0.6666666667
@BaderbinSaud مع الإعلان عن السماح بـ #السينما_في_السعودية ، أتمنى أن يكون توقيع إنتاج فيلم عالمي؛ ضخم عن تأسيس المملكة، هو باكورة الإنتاج السعودي السينمائي. فيلم كهذا لابد أن يضاهي في إنتاجه أفلام (آيقونية) من نوع فيلم الرسالة؛ للمخرج الراحل العقاد.,1
@botamine22 فتحت باب عمل جديد للشباب والبنات السعوديات واتمنى ان يكون التوظيف مقتصر للسعوديين لانهم هم من يستحقون هذه الوظيف  #السينما_في_السعوديه,1
@Cinemas_KSA #السينما_في_السعوديه تمم,1
@fahadaafet1 اعتقد ان #السينما_في_السعودية حضرت في الوقت المناسب بعد ان نضجت البيئه وأصبحت مستعده لمثل ذلك والاستمتاع بما يعرض بعقل وليس بعاطفه ناهيك على ان مؤسسات الدوله سيكون لها تحكم في مدخلات ومخرجات العرض لتلافي كل ماهو سلبي والاستفاده من كل ماهو إيجابي ومناسبا لبيئتنا المحافظه والقويه,1
@gcamsa شرايكم نسويلكم تطبيق متخصص بالسينما واخبارها وحجوزات التذاكر بالسعودية مجاناً! احنا جاهزين وبالخدمه دائماً 😇#السينما_في_السعودية,0.6666666667
@LaughWithMedia المُعارض للسينما اليوم بكره بتشوفه مسوي تفضيل لافلام الاسبوع المعروضه في صالات السينما السعودية ، او ممكن يسوي ريتويت لقائمة العرض ويقولك وش احسن فلم ندخله .. ليت البعض يكف عن الاستشراف الزايد #السينما_في_السعودية,1
@ma_alosaimi الكثير ممن يرفض #السينما_في_السعودية تجده يسبقك لشباك التذاكر في السِيف أو السيتي سنتر.. وله تبريره أيضا بأنه يمارس الخطأ أو المنكر لكن لايرضاه لمجتمعه!!,1
@MAMADAM303 @kadwi69 السينما فن بحد ذاته ، نتمنى لهم التوفيق و التميز . #السينما_في_السعودية,1
"@naifco  طبعاً اسبوع كذا ثم بيقلبون ""الاخوان "" وبيقولون ان السينما فيها من الخير والوعي والثقافه الكثير والكثير زي ماسوو يوم قياده المرأه وقلبو رايهم    #السينما_في_السعوديه #السينما",0.6666666667
@naifco احسنت 👌🏻 هناك دول اقتصادتها تقوم دعائمه على هذه الصناعه بل وتعدى الأمر لاقتحام المجتمعات والأسر وتوجيه الناس لهم.. وإني لآمل ان يأتي ذلك اليوم ونقتحم العالم بصناعاتنا ومنها #السينما_في_السعودية المجد لـ #رؤية_السعودية_2030,1
@sa3etshabab فكرة جدا فخمة ، مثل حوجن ، وخوف ..إلخ قسم بالله اني متحمس لهذا الموضوع يا بلادي واصلي#سينما_السعودية #السينما_في_السعودية,0.6666666667
@SaudiCinema          #لصناعة_سينمائية_قوية  #السينما_في_السعوديه من واجبات اللجان المختصة أن يتم الحكم على الأفلام لتدخل دور العرض بالمعايير الفنية الاحترافية وليس بحسب ذائقتها ، فالحكم بالذائقة للجمهور فقط.,1
@SaudiCinema  #السينما_في_السعودية  سوف اورد هناء وجهة نظري الشخصية كمحبة للافلام والمنتجين السعودين 1/ السينما السعودية كانت سباقة في تقديم محتوى جميل ورائع وكانت اولى العروض السينمائية في السعودقة خلال فترة الثمانينات كانت من قبل شركة ارامكو السعودية حالياّ,1
@SaudiCinema  #السينما_في_السعودية لابد من افلام تناسب الذوق العام وللمعلومية يوجد سعودين مبدعين واصحاب تمثيل وإخراج رائع نرجو من وزارة الثقافة والاعلام وهيئة الترفيه دعمهم وتنمية مواهبهم,1
@SaudiCinema  #السينما_في_السعوديه  10- يمكن للسينما أن تلعب دوراً في تعليم الطلاب تقنيات ومهارات جديدة، بل وتعيد توجيه سلوكهم الاجتماعي.,1
@SaudiCinema  #السينما_في_السعوديه  11- يمكن للسينما أن تُوجد أساليب جديدة في التفكير والسلوكيات، وأن تثير الرغبة في الاكتشافات، والتعليم لدى الجماهير.,1
@SaudiCinema  #السينما_في_السعوديه  12- تُعد السينما من وسائل الإعلام التي تستخدمها العديد من الحكومات لدعم جهودها من أجل التنمية.,1
@SaudiCinema  #السينما_في_السعوديه  13- باستطاعة السينما أن تقدم طرق الإعلام التي لا غنى عنها لتطور الدولة العصرية.,1
@SaudiCinema  #السينما_في_السعوديه  14- وسائل الاتصال الشفهية المصورّة مثل السينما ، تهتم بعنصر الترفيه بصفة أساسية، وأن الجماهير تتأثر بالصور التي تتحرك على الشاشة وتبدو وكأنها حقيقة ملموسة، مما يدفع الجماهير إلى التفاعل القوي معها.,1
@SaudiCinema  #السينما_في_السعوديه  16- السينما أداة مؤثرة في إحداث التغيير الاجتماعي، وفي التنمية الثقافية.,1
@SaudiCinema  #السينما_في_السعوديه  17- والسينما أداة من أدوات الثقافة والمعرفة، ووسيلة من الوسائل التعليمية الفعَّالة التي تهدف إلى الارتقاء بالمجتمع، كما تلعب دوراً بارزاً في تشكيل قيم المجتمع، وعاداته، وفنونه.,1
@SaudiCinema  #السينما_في_السعوديه  18- السينما واحدة من القوى التربوية العامة داخل المجتمع، شأنها شأن وسائل الإعلام الأخرى، وسائر مؤسسات المجتمع، ذلك إذا تعاملنا مع التربية بمفهومها الواسع,1
@SaudiCinema  #السينما_في_السعوديه  19- السينما تمثل جسور لقاء بين الشعوب بعضها البعض، ويعتبرها البعض ركناً أساسياً من الحضارة والفكر، ولها دور مهم في عكس روح العصر، وإدانة التخلف، وفتح عيون المشاهد ليرى في الصورة المرئية واقعه، وظروفه، وحقيقته.,1
@SaudiCinema  #السينما_في_السعوديه  2- الأمر الذي يتيح الفرصة لمناقشة وتمحيص أي فكرة أو قضية يتضمنها هذا الفيلم، ربما استعصى فهمها أو استيعابها على المشاهد.,1
@SaudiCinema  #السينما_في_السعوديه  20- ترسيخ ثقافة عقلانية وأقل انفعالية مع الصور والسينما والتلفزة.,1
@SaudiCinema  #السينما_في_السعوديه  7- يمكن للسينما أن تخلق جواً ملائماً للاكتشافات العلمية، وأن تثير الرغبة في المعرفة، وأن تنشر نوعاً من الإرشاد الخاص في مجالات الصحة العامة والزراعة كنوع من التعليم.,1
@SaudiCinema  #السينما_في_السعوديه  9- يمكن للسينما أن تسهم في تأهيل المعلمين، وأن تتيح إدخال مواد جديدة، وطرق تعليمية جديدة، تساعد في تدعيم قدرتهم التعليمية تجاه الطلاب.,1
@SaudiCinema  #السينما_في_السعوديه  اهداف السينما : 1- إمكانية عرض الفيلم وقتما نشاء، وبالتالي إمكانية عرضه أكثر من مرة، سواء على نفس المجموعة من المشاهدين، أو على غيرهم.,1
@SaudiCinema  #السينما_في_السعوديه 15- السينما تعتبر من أيسر الطرق لتوصيل المعلومات والمعارف إلى طالب العلم والمعرفة، وهى أبلغ تأثيراً على العقول والنفوس من الكلمة المسموعة أو المكتوبة.,1
@SaudiCinema  #السينما_في_السعوديه 3- وجود الصورة على الشاشة أثناء عرض الفيلم يعطي الفرص للشرح والاستيضاح بصورة أفضل.,1
@SaudiCinema  #السينما_في_السعوديه 4- تعتبر مساحة الشاشة السينمائية كبيرة بالدرجة التي تسمح لها بتكبير الأجسام والصور المعروضة عليها، الأمر الذي يجعل الصورة السينمائية تفصح عن دقائق يصعب إدراكها على الشاشة التليفزيونية.,1
@SaudiCinema  #السينما_في_السعوديه 5- اللون في السينما عنصر أساسي وفعّال في زيادة تأثير دورها التعليمي، بل في بعض الموضوعات التعليمية التي يتناولها الفيلم يكون ضرورة لا غنى عنها.,1
@SaudiCinema  #السينما_في_السعوديه 6- تمتاز السينما بقدرتها على تجسيم الصورة المتحركة، واستخدام الصوت المجسَّم الذي يمكن استخدامه لخدمة التعليم.,1
